Department,Department Name,Division,Gender,Base Salary,2025 Overtime Pay,2025 Longevity Pay,Grade
PRO,Office of Procurement,PRO 35 Procurement Services Section,F,170026.78,0,0,M3
CEC,Community Engagement Cluster,CEC 16 Regional Services Centers,M,208000,0,0,EX3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,F,134086,0,8718.54,25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,134086,0,8718.54,N25
OIG,Office of the Inspector General,OIG 06 Office of the Inspector General,F,153585,0,9986.28,N28
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,90149,0,7653.11,16
HHS,Department of Health and Human Services,HHS 60 Director's Office Division,F,134086,0,4289.54,N25
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,112166,0,3588.34,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,90149,0,8936.04,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,122603,0,9115.42,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,112166,0,868.9,21
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,94134,0,6120.72,N17
DGS,Department of General Services,DGS 36 Administration and Budget,F,134086,23.58,12597.4,N25
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,112166,0,3588.34,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,174641.65,0,0,M3
FIN,Department of Finance,FIN 32 Director's Office,F,223879.77,0,0,M1
DOT,Department of Transportation,DOT 50 Highway Services,F,124757.84,2825.44,242.53,N25
POL,Department of Police,POL 47 MSB Budget & Capital Management Division,F,120866.05,79.32,0,23
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,94134,0,8843.8,N17
FIN,Department of Finance,FIN 32 Grants Accounting,M,122603,0,12153,23
FIN,Department of Finance,FIN 32 Accounts Payable,F,90149,0,8936.04,16
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,168264,0,4157.64,N30
DEP,Department of Environmental Protection,DEP 80 Strategic and Administrative Services Division,F,122603,0,11518.52,N23
REC,Department of Recreation,REC 72 Facilities Division,M,134086,0,0,N25
DEP,Department of Environmental Protection,DEP 80 Strategic and Administrative Services Division,M,134086,0,4289.54,25
DOT,Department of Transportation,DOT 50 Highway Services,M,117252,33030.38,11622.56,22
DOT,Department of Transportation,DOT 50 Highway Administration,M,169555,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,153585,0,9986.28,N28
DEP,Department of Environmental Protection,DEP 80 Materials Management,M,146770,0,9543.1,27
REC,Department of Recreation,REC 72 Countywide Programs,F,90149,0,5861.66,16
DGS,Department of General Services,DGS 36 Central Duplicating,M,72898,0,7226.02,11
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,167000,0,0,M3
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,104197,0,3551.51,20
DGS,Department of General Services,DGS 36 Facilities Major Programs,M,153585,0,15224,28
REC,Department of Recreation,REC 72 Facilities Division,F,156054.04,0,0,M3
OHR,Office of Human Resources,OHR 33 Recruitment and Selection,F,134086,0,8718.54,N25
FRS,Fire and Rescue Services,FRS 45 Admin Services,F,122603,36202.75,10884.04,N23
PRO,Office of Procurement,PRO 35 Procurement Operations Section,F,146770,0,4695.32,27
LIB,Department of Public Libraries,LIB 71 White Oak Library,F,172137.31,0,0,N25
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,128198,20868.32,11546.58,N24
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,174641.65,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,130181,0,4852.54,N25
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,M,200291.23,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,122603,0,0,N23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,153585,0,14429.2,N28
DOT,Department of Transportation,DOT 50 Highway Services,M,140274,0,9120.82,N26
DOT,Department of Transportation,DOT 50 Transportation Management,F,86352,2433.76,8559.6,15
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,153585,0,15224,28
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,67611.75,0,2163.08,16
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,F,134086,773.58,0,N25
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,F,87523,0,2446.07,16
DGS,Department of General Services,DGS 36 Property Management,M,128198,20404.54,4883.08,N24
FIN,Department of Finance,FIN 32 Accounts Receivable,F,174641.65,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,90149,0,3000.37,16
DOT,Department of Transportation,DOT 50 Transit Management Services,M,134086,0,4289.54,N25
FRS,Fire and Rescue Services,FRS 45 Internal Affairs,F,90149,0,8936.04,16
DOT,Department of Transportation,DOT 50 Transit Management Services,F,134086,0,9611.94,N25
DEP,Department of Environmental Protection,DEP 80 Resource Conversion,F,134086,0,2987.7,N25
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,90149,0,5861.66,16
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,140274,0,0,N26
DGS,Department of General Services,DGS 36 Central Duplicating,M,90149,0,8003,16
DGS,Department of General Services,DGS 36 Central Duplicating,M,174641.65,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,122603,0,3922.18,23
ABS,Alcohol Beverage Services,ABS 85 Administration,M,200829,0,0,M2
HCA,Department of Housing and Community Affairs,HCA 76 Asset Management,F,134086,0,8718.54,25
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,122603,0,2434.28,N23
DGS,Department of General Services,DGS 36 Fleet Management Services,F,134086,0,0,N25
DGS,Department of General Services,DGS 36 Contracting and Accounts Payable,M,122603,0,7971.76,23
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,79296,0,7860.22,13
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,122603,0,12153,23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,79296,0,7860.22,13
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,134086,0,12597.4,N25
DPS,Department of Permitting Services,DPS 75 Customer Support,F,94134,217.65,8601.72,17
POL,Department of Police,POL 47 FSB Traffic Division Vehicle Recovery Section,F,108899,2247.5,1434.09,13
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,112166,0,3043.82,21
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,90149,0,1931.79,16
CUS,Community Use of Public Facilities,CUS 70 Finance and Administrative Support Team,M,153585,0,9986.28,N28
FIN,Department of Finance,FIN 32 Tax Operations,F,174642,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,90149,0,112.69,16
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,122603,0,3922.18,23
FIN,Department of Finance,FIN 32 Tax Operations,F,112166,0,0,N21
FRS,Fire and Rescue Services,FRS 45 Length of Service Awards Program,F,112166,8974.62,7293.28,21
OHR,Office of Human Resources,OHR 33 Director's Office,F,253000,0,0,EX1
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,107323,0,8972.2,20
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,168264,0,10940.7,N30
DGS,Department of General Services,DGS 36 Property Management,M,128198,36746.14,12044.16,N24
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,134086,257.86,0,N25
FRS,Fire and Rescue Services,FRS 45 Procurement,F,90149,0,5861.69,16
DPS,Department of Permitting Services,DPS 75 Zoning Review,M,128198,0,8335.6,24
DGS,Department of General Services,DGS 36 Property Management,M,128198,71513.87,7070.72,N24
REC,Department of Recreation,REC 72 Business Services,F,90149,403.74,5815.85,16
FIN,Department of Finance,FIN 32 Tax Operations,F,90149,807.45,5861.66,16
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,134086,1066.27,4289.54,N25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,112166,0,0,N21
DPS,Department of Permitting Services,DPS 75 Central Services Unit,F,151906.95,0,3086.89,M3
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,90149,0,8352.89,16
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,98322,0,0,N18
DGS,Department of General Services,DGS 36 Building Design and Construction,F,90149,0,8936.04,16
FIN,Department of Finance,FIN 32 Grants Accounting,M,136188,0,0,N26
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,112166,0,11118.46,21
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,61301.48,0,6272.89,23
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,134086,0,0,N25
FIN,Department of Finance,FIN 32 Treasury Operations,F,94134,0,6120.72,N17
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,F,112166,0,11118.46,21
CUS,Community Use of Public Facilities,CUS 70 Director,F,223879.77,0,0,M1
DOT,Department of Transportation,DOT 50 Parking Management Administration,M,112166,0,7293.28,21
DGS,Department of General Services,DGS 36 Central Services,F,187607.39,0,0,M2
DOT,Department of Transportation,DOT 50 Highway Services,M,140274,0,9120.82,N26
FIN,Department of Finance,FIN 32 Timekeeping and Payroll,F,200829,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,90149,0,5234.84,16
OLR,Office of Labor Relations,OLR 26 Labor Relations Division,F,140274,0,1143.99,N26
PRO,Office of Procurement,"PRO 35 MFD (Minority, Female, and Disabled Persons Program)",M,122603,0,12153,23
DOT,Department of Transportation,DOT 50 Transportation Engineering Administration,M,140274,0,13904.58,26
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,255000,0,0,EX1
DOT,Department of Transportation,DOT 50 Commuter Services,F,90149,0,4732.06,16
POL,Department of Police,POL 47 FSB Traffic Division Automated Traffic Enforcement Section,M,122603,0,0,N23
FRS,Fire and Rescue Services,FRS 45 Procurement,F,112166,0,11118.46,21
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,107323,0,8408.46,20
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,112166,0,7442.75,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Infrastructure and Cloud Services,M,191708,0,12465.04,N34
DGS,Department of General Services,DGS 36 Fleet Management Administration,F,94134,0,6120.72,N17
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,122603,0,3922.18,N23
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,107323,0,6978.26,20
DOT,Department of Transportation,DOT 50 Transportation Management,M,86352,4368.77,5614.68,15
DPS,Department of Permitting Services,DPS 75 Customer Support,F,102711,0,10181.2,19
DPS,Department of Permitting Services,DPS 75 Customer Support,M,94134,0,9330.92,17
OCP,Office of Consumer Protection,OCP 39 Investigations,M,134086,0,9433.26,25
DGS,Department of General Services,DGS 36 Building Design and Construction,F,174641.65,0,0,M3
OHR,Office of Human Resources,OHR 33 Administrative Services Team,F,140274,0,4487.56,N26
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,153585,0,1919.9,28
OHR,Office of Human Resources,OHR 33 Health and Employee Welfare,F,134086,0,4289.54,N25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,134086,0,2317.26,N25
DPS,Department of Permitting Services,DPS 75 Customer Support,M,94134,3407.16,9330.92,17
DGS,Department of General Services,DGS 36 Director,M,256000,0,0,EX1
FIN,Department of Finance,FIN 32 Director's Office,F,200829,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,134086,0,12597.4,N25
DOT,Department of Transportation,DOT 50 Transportation Engineering Administration,F,122603,2591.25,11441.82,N23
PRO,Office of Procurement,PRO 35 Procurement Services Section,F,79296,0,6629.14,13
FIN,Department of Finance,FIN 32 Management and Operations - Director,F,153585,0,8446.68,N28
DGS,Department of General Services,DGS 36 Real Estate Office,F,90149,0,8936.04,16
FIN,Department of Finance,FIN 32 Tax Operations,F,90149,716.62,5861.66,16
FRS,Fire and Rescue Services,FRS 45 Facilities,M,174641.65,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,134086,0,0,N25
DGS,Department of General Services,DGS 36 Building Design and Construction,M,153585,0,8254.23,28
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,162663.15,0,0,M3
DGS,Department of General Services,DGS 36 Building Design and Construction,F,165780.51,0,0,M3
OAS,Office of Animal Services,OAS 38 Animal Services Division,F,90149,1414.54,8936.04,16
DEP,Department of Environmental Protection,DEP 80 Strategic and Administrative Services Division,M,140274,0,13178.66,N26
FRS,Fire and Rescue Services,FRS 45 Volunteer Services Division,F,90149,0,5861.66,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,90149,0,8936.04,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,107323,0,2910.2,20
HCA,Department of Housing and Community Affairs,HCA 76 Licensing,F,112166,0,11118.46,21
POL,Department of Police,POL 47 MSB Budget & Capital Management Division,F,134086,560.61,12597.4,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311,F,134086,0,8718.54,N25
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,134086,0,0,N25
DGS,Department of General Services,DGS 36 Building Design and Construction,M,174434.73,0,0,M3
OHR,Office of Human Resources,OHR 33 Professional Learning and Org Development,F,134086,0,4289.54,N25
DOT,Department of Transportation,DOT 50 Commuter Services,F,174641.65,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,90149,0,8936.04,16
FRS,Fire and Rescue Services,FRS 45 Training,F,123509.32,0,0,N25
REC,Department of Recreation,REC 72 Youth Development,M,122603,0,6459.66,N23
REC,Department of Recreation,REC 72 Countywide Programs,M,112166,0,11118.46,21
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,117252,12563.6,7623.88,22
DEP,Department of Environmental Protection,DEP 80 Strategic and Administrative Services Division,F,134086,0,2987.7,N25
DOT,Department of Transportation,DOT 50 Director Management Services,M,153585,0,9986.28,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,104197,0,80.72,20
DOT,Department of Transportation,DOT 50 Director Management Services,M,200829,0,0,M2
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,174642,0,0,M3
COR,Correction and Rehabilitation,COR 42 DS Food Services,F,90149,0,5861.66,16
PRO,Office of Procurement,PRO 35 Procurement Operations Section,M,122603,0,7971.76,23
OHR,Office of Human Resources,OHR 33 Equal Employment Opportunity & Diversity,F,191053.8,0,0,M2
DOT,Department of Transportation,DOT 50 Transportation System Engineering,M,174641.65,0,0,M3
PRO,Office of Procurement,PRO 35 Procurement Operations Section,M,134086,0,8718.54,25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,134086,0,8718.54,N25
DGS,Department of General Services,DGS 36 Building Design and Construction,M,174641.65,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,90149,0,5861.66,16
FIN,Department of Finance,FIN 32 General Accounting,M,140274,0,0,N26
DPS,Department of Permitting Services,DPS 75 Customer Support,F,91392,0,3893.78,17
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,134086,0,12597.4,N25
DOT,Department of Transportation,DOT 50 Director's Office,F,174641.65,0,0,M3
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,174642,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,F,160741.57,0,16565.92,B3
REC,Department of Recreation,REC 72 Countywide Programs,M,112166,0,11118.46,21
DPS,Department of Permitting Services,DPS 75 Customer Support,M,94134,0,9330.92,17
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,F,149112,0,2050.29,N28
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,200829,0,0,M2
PRO,Office of Procurement,PRO 35 Office of Procurement,F,154500,0,0,M3
DOT,Department of Transportation,DOT 50 Parking Management Administration,M,174641.65,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,174641.65,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,90149,0,5861.66,16
DGS,Department of General Services,DGS 36 Fleet Management Administration,F,122603,0,12153,23
DEP,Department of Environmental Protection,DEP 80 Watershed Restoration Division,F,199790.55,0,0,M2
LIB,Department of Public Libraries,LIB 71 Business Office,M,122603,0,3922.18,N23
HRC,Office of Human Rights,HRC 46 Director,M,223577.69,0,0,M1
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,M,122603,0,3922.18,23
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,90149,0,3333.01,16
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,M,134086,0,12597.4,N25
OLO,Office of Legislative Oversight,OLO 03 Legislative Oversight Staff,M,200829,0,0,M2
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,90149,102.96,5861.66,16
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,122603,0,7971.76,N23
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,98322,0,6393.02,18
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,174642,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,200829,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,90149,0,8936.04,16
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,107323,0,9710.4,20
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,98322,0,9746.18,18
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,134086,0,11903.52,N25
DOT,Department of Transportation,DOT 50 Director Transportation Policy,M,223879.77,0,0,M1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,F,153585,0,7869.33,N28
OHR,Office of Human Resources,OHR 33 Recruitment and Selection,F,134086,0,4289.54,N25
PRO,Office of Procurement,PRO 35 Procurement Operations Section,F,134086,0,13291.28,25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,90149,2665.09,8936.04,16
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,107323,10107.34,10638.4,20
HCA,Department of Housing and Community Affairs,HCA 76 Community Development Neighborhood Revitalization,F,134086,0,13291.28,25
COR,Correction and Rehabilitation,COR 42 PTS Assessment,F,140274,0,12634.22,N26
DEP,Department of Environmental Protection,"DEP 80 Energy, Climate and Compliance Division",M,200829,0,0,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP OBP Digital Equity (GF),F,200829,0,0,M2
DGS,Department of General Services,DGS 36 Facilities Major Programs,M,122603,50367.19,11518.52,N23
HCA,Department of Housing and Community Affairs,HCA 76 Information Technology,F,168264,0,0,N30
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,102711,7670.83,3285.78,19
DOT,Department of Transportation,DOT 50 Traffic Engineering and Operations Management Services,F,169555,0,0,M3
DGS,Department of General Services,DGS 36 Planning and Development,F,200829,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,M,198263.51,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,122603,0,12153,23
DEP,Department of Environmental Protection,DEP 80 Strategic and Administrative Services Division,F,90149,0,6723.18,16
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,M,134086,16.6,12597.4,N25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,134086,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,134086,0,8718.54,N25
POL,Department of Police,POL 47 MSB Budget and Capital Management Division Financial and Grants Management Section,F,134086,0,8718.54,25
FIN,Department of Finance,FIN 32 Tax Operations,M,122603,0,11642.75,23
FIN,Department of Finance,FIN 32 Tax Operations,F,134086,0,2987.7,N25
CUS,Community Use of Public Facilities,CUS 70 Core Services Team,F,112166,0,11118.46,21
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,117252,0,7623.88,N22
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,79296,0,7552.45,13
FIN,Department of Finance,FIN 32 Tax Operations,F,90149,0,8702.78,16
ORE,Office of Racial Equity and Social Justice,ORE 25 Director's Office,F,132090.24,0,0,N25
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,M,170959.31,0,0,M3
DHS,Office of Emergency Management and Homeland Security,DHS 49 Director's Office,F,134086,0,8718.54,N25
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,90149,0,8936.04,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,134086,0,0,N25
DEP,Department of Environmental Protection,DEP 80 Strategic and Administrative Services Division,F,122603,0,7971.76,23
FRS,Fire and Rescue Services,FRS 45 Training,F,90149,357.8,8936.04,16
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,84124.5,0,10840.46,21
REC,Department of Recreation,REC 72 Business Services,M,174641.65,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Support Services Division,F,90149,0,5861.66,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,94134,0,6853.06,N17
CEC,Community Engagement Cluster,CEC 16 Business Management,F,98322,0,0,N18
